Timestamp,Which course are you enrolled in?,What is your major?,"To the nearest half hour, how many hours of sleep did you get last night?",How many miles is your home address from Cal Poly? (Use a map to find out.),In what city and state were you born?,The last airport – outside of California – that you were in is in what city and state? ,How many miles are there on your car’s odometer? (Check your odometer.) Leave this blank if you don’t have a car.  ,How many of the 7 books in the original Harry Potter series have you read?,How many of the 8 movies in the original Harry Potter series have you watched?,"How many U.S. states, including CA, have you visited?",What month is your birthday in?,"If you had to pick just one, what would be your favorite season of the year?","If the sky could be any color you want, what color would you pick?","If grass wasn't green, which other color would you want it to be?",What are the two primary colors of your favorite sports team?,How many pets do you have? (The pets don’t have to be with you at Cal Poly.),"Among the following movie franchises, which one is your favorite?",Which one of the following would you most want to win? ,What genre of music do you like the most?,How tall are you in inches? (e.g. “72”),"If you could only eat one food for the rest of your life, what would it be?","In your opinion, who is the greatest basketball player of all time? ","Looking ahead to the next 20 years, developments in science will make the world","Think of how you would read this aloud: “Mary will marry; how merry!” Which of the following best describes your pronunciation of Mary, marry, merry. ",How many older siblings do you have?,How many younger siblings do you have?,How many minutes ago from now did you receive your last text?,"Among the following, which is your favorite social media?"
2022/09/20 10:59:34 AM MDT,STAT 217 Section 6 (12:10),Liberal Studies,4,190.5,"San Jose, CA","Kahului Airport in Maui County, Hawaii",,7,5,6,Dec,Winter,Pink,Black,Orange and black,5,Marvel Cinematic Universe,An Academy Award (Oscar),K-Pop,66,Pizza,Kobe,Better,All three sound the same.,0,2,9,Instagram
2022/09/20 11:03:33 AM MDT,STAT 217 Section 7 (1:10),PSY,8.5,1030,"Bellevue, WA","SeaTac, WA",98000,7,8,14,Jan,Fall,Blue,Grey,Blue and White,0,Marvel Cinematic Universe,An Olympic gold medal,Rock/indie,66,Salad,Michael Jordan,Better,All three sound the same.,0,1,5,TikTok
2022/09/20 11:16:13 AM MDT,DATA 301,CSC,6.5,0.5,"Santa Clara, CA","Austin, Texas",,7,0,3,May,Summer,blue,white,red blue,0,Star Wars,A Nobel Prize,Electronic/dance,63,fried chicken,Michael Jordan,Better,All three sound the same.,0,0,362,Twitch
2022/09/20 11:24:07 AM MDT,STAT 217 Section 7 (1:10),RPTA,9,221,"Danville, CA","san Diego, ca",,0,8,6,May,Spring,pink,red,teal and black,1,Harry Potter,An Olympic gold medal,reggae,67,potato ,Steph curry,Better,Mary and marry sound the same; merry sounds different,1,0,5,Snapchat
2022/09/20 11:57:55 AM MDT,STAT 217 Section 7 (1:10),CD,9,184,"Los Angeles, California","Paris, France",6240,0,2,10,Dec,Fall,light pink/purple,blue,blue/gold,2,Jurassic Park/World,A Nobel Prize,Pop/R&B,66,pasta,michael jordan,Better,Mary and marry sound the same; merry sounds different,1,0,7,Instagram
2022/09/20 11:58:30 AM MDT,STAT 217 Section 7 (1:10),Environmental Management and Protection,8,414,"Reno, Nevada","Reno, Nevada",189500,7,8,16,Mar,Summer,Dark Blue,orange,Red & Gold,2,Lord of the Rings,A Nobel Prize,Pop/R&B,68,Salad,Steph Curry,Better,All three sound the same.,0,1,79,Instagram
2022/09/20 12:03:35 PM MDT,DATA 301,CSC,6,1065,"Seattle, WA","SeaTac - Seattle, WA",130000,7,8,7,Dec,Winter,green,pink,blue/green,1,Star Wars,A Nobel Prize,Hip hop/rap,72,burritos,Michael Jordan,Better,All three sound the same.,1,0,3,Snapchat
2022/09/20 12:16:15 PM MDT,STAT 217 Section 7 (1:10),GrC,8,,257,"Rome, Italy",22468,0,7,14,May,Summer,Purple,Blue,Red and Blue,2,Star Wars,An Olympic gold medal,Country,65,pasta,Kobe Bryant,Better,All three sound the same.,0,2,4,Snapchat
2022/09/20 12:19:45 PM MDT,STAT 217 Section 7 (1:10),POLS,8,286,"Carlsbad, CA","Tijuana, Mexico",186000,0,0,5,Jan,Summer,white,blue,orange and black,1,The Fast and the Furious,An Olympic gold medal,Hip hop/rap,72,Mexican food,MJ,Better,Mary and marry sound the same; merry sounds different,0,1,1,TikTok
2022/09/20 12:21:33 PM MDT,STAT 217 Section 6 (12:10),COMS,8.5,197,"Hollywood, California","Toronto, Canada",115000,7,5,25,Mar,Fall,green,pink,red and white,1,Harry Potter,A Nobel Prize,Rock/indie,66,salad,lebron james,About the same,Mary and marry sound the same; merry sounds different,2,1,900,TikTok
2022/09/20 1:09:42 PM MDT,DATA 301,STAT,9,1,"Whittier, CA","Houston, Texas",212351,0,0,9,Oct,Spring,Gold,Silver,White and Blue,1,Marvel Cinematic Universe,A nationwide NCAA tournament pool (for the men’s or women’s NCAA basketball championship),Pop/R&B,70,Sushi,Michael Jordan,Better,All three sound the same.,0,1,30,Instagram
2022/09/20 1:16:20 PM MDT,STAT 217 Section 6 (12:10),FFS,7,312,"La Mesa, CA",N/A,112000,3,4,10,May,Spring,blue,purple,red and yellow,0,Marvel Cinematic Universe,An Olympic gold medal,Hip hop/rap,71,sushi,Michael Jordan,Better,All three sound the same.,0,1,18,Snapchat
2022/09/20 1:36:39 PM MDT,STAT 217 Section 6 (12:10),POLS,8,221,"Novato, CA","Lihue, Kauai",203000,0,8,7,Aug,Fall,Purple,White,Orange and black,1,Harry Potter,A nationwide NCAA tournament pool (for the men’s or women’s NCAA basketball championship),Rock/indie,76,Shrimp,MJ,Better,Mary and marry sound the same; merry sounds different,1,0,20,Snapchat
2022/09/20 1:40:50 PM MDT,STAT 217 Section 7 (1:10),POLS,9.5,429,"Reno, NV","Reno Airport in Reno, NV",192000,7,8,7,Apr,Spring,green,orange,brown and orange,12,Marvel Cinematic Universe,A nationwide NCAA tournament pool (for the men’s or women’s NCAA basketball championship),Country,70,steak,Michael Jordan,About the same,Mary and marry sound the same; merry sounds different,2,0,5,Instagram
2022/09/20 1:58:14 PM MDT,STAT 217 Section 6 (12:10),COMS,9,137,"Pittsburgh, PA",Don't know,20000,0,0,,Feb,Summer,Blue,Red,Purple and Gold,1,Star Wars,An Olympic gold medal,Hip hop/rap,70,Pizza,MJ,About the same,All three sound the same.,0,2,98,Snapchat
2022/09/20 2:35:04 PM MDT,STAT 217 Section 6 (12:10),COMS,8.5,140,"Oxnard, CA","Kahului Airport in Maui, HI",,7,8,8,Nov,Summer,pink,purple,blue and a dash of red (the other man color is white),1,Harry Potter,A Nobel Prize,Rock/indie,66,Sushi,Michael Jordan,About the same,Mary and marry sound the same; merry sounds different,0,1,108,Snapchat
2022/09/20 2:36:55 PM MDT,STAT 217 Section 7 (1:10),CD,8,1015,"Seattle, Washingotn",Seattle Washington,,7,8,10,Apr,Spring,Lavender,Blue,Green and blue,1,Jurassic Park/World,A Nobel Prize,Rock/indie,67,Sushi,Micheal Jordan,Better,Mary and merry sound the same; marry sounds different,0,1,42,Snapchat
2022/09/20 2:42:38 PM MDT,DATA 301,MATH,8,1.7,"Mill Valley, CA","Phoenix, AZ",115000,3,6,20,Feb,Winter,Blue,Orange,White and Gold,1,Marvel Cinematic Universe,A Nobel Prize,Pop/R&B,70,Sushi,Stephen Curry,About the same,Mary and marry sound the same; merry sounds different,1,0,11,Instagram
2022/09/20 2:45:15 PM MDT,STAT 217 Section 7 (1:10),COMS,9,273,"Greenbrae, CA",Seattle-Tacoma International airport ,19790,7,8,8,Oct,Fall,Pink,Purple,Blue and yellow,1,Marvel Cinematic Universe,An Academy Award (Oscar),Pop/R&B,67,I think peanut butter,Steph Curry,Better,All three sound the same.,0,1,3,TikTok
2022/09/20 2:47:30 PM MDT,STAT 217 Section 7 (1:10),GRC,8,240,"Irvine, California","Lihue, Hawaii",17000,0,8,12,Mar,Fall,Light yellow,Blue,Black and orange,1,Harry Potter,An Olympic gold medal,Rock/indie,67,Fruit,Kobe Bryant,Better,Mary and marry sound the same; merry sounds different,0,1,34,Instagram
2022/09/20 2:49:54 PM MDT,STAT 217 Section 7 (1:10),LS,7,160,"Los Angeles, California ","La Aurora Airport Guatemala City, Guatemala ",,7,8,5,Oct,Winter,purple,blue,blue ,2,Twilight,A Nobel Prize,Pop/R&B,66,apples,Michael Jordan,Better,All three sound the same.,2,0,20,Instagram
2022/09/20 2:57:34 PM MDT,STAT 217 Section 7 (1:10),CD,8.5,194,"Torrance, CA","Washington, DC",,7,8,20,Jan,Fall,pink,blue,blue & white,0,Harry Potter,An Academy Award (Oscar),musical theatre,63,pizza,Coby Bryant,About the same,All three sound different,0,1,48,Instagram
2022/09/20 3:07:46 PM MDT,STAT 217 Section 7 (1:10),COMS,8,224,Fountain Valley California,Las Vegas Nevada ,,0,1,4,Apr,Summer,Blue ,Pink,Green and Gold,2,Marvel Cinematic Universe,An Academy Award (Oscar),Pop/R&B,64,Avocados,Kobe Bryant,Better,Mary and marry sound the same; merry sounds different,2,0,7,TikTok
2022/09/20 3:12:22 PM MDT,STAT 217 Section 6 (12:10),FFS,8,176,"Arcadia, CA","Miami, Florida",,0,8,10,Jun,Summer,purple,pink,white and blue,2,Marvel Cinematic Universe,A Nobel Prize,emo,63,sushi,kobe bryant,Better,Mary and merry sound the same; marry sounds different,1,0,4,Instagram
2022/09/20 3:26:29 PM MDT,STAT 217 Section 7 (1:10),POLS,8,307,Apple Valley California ,"New York City, New York ",42350,7,8,50,Jun,Winter,pink with orange tints ,blue ,red and gold ,1,Twilight,A Nobel Prize,Classical,67,pasta from Italy ,Kobe Bryant ,Better,All three sound the same.,1,0,47,Instagram
2022/09/20 3:54:50 PM MDT,DATA 301,STAT,7,1,"Kirkland, Washington","Seattle, Washington",153389,7,7,8,Mar,Fall,Orange,Purple,Blue and green,2,Star Wars,A Nobel Prize,Rock/indie,70,Sushi,Kobe Bryant,About the same,All three sound the same.,1,1,15,Twitch
2022/09/20 3:57:23 PM MDT,STAT 217 Section 7 (1:10),POLS,8,153,"San Jose, California",cancun mexico,39000,0,2,7,Oct,Fall,pink,pink,green and gold,3,Star Wars,A Nobel Prize,Hip hop/rap,62,sushi,kobe,Better,All three sound different,0,0,4,Snapchat
2022/09/20 3:58:41 PM MDT,STAT 217 Section 7 (1:10),POLS,7.5,330,"Tulsa, Oklahoma","Las Vegas, Nevada",,5,8,20,Dec,Fall,sage green,pink,blue and orange,2,Harry Potter,A Nobel Prize,Pop/R&B,68,pasta,Michael Jordan,Better,Mary and marry sound the same; merry sounds different,2,0,22,Instagram
2022/09/20 3:59:05 PM MDT,STAT 217 Section 6 (12:10),COMS,7,285,Encinitas California,"Denver, Colorado",,0,0,18,Apr,Fall,Pink,Blue,Blue and white,2,Star Wars,A nationwide NCAA tournament pool (for the men’s or women’s NCAA basketball championship),Country,62,Sushi,Kobe ,Worse,Mary and marry sound the same; merry sounds different,1,2,10,TikTok
2022/09/20 4:20:50 PM MDT,STAT 217 Section 6 (12:10),COMS,7,194,"Cupertino, CA","Arlington, VA",,0,0,10,Jun,Spring,blue,purple,purple and gold,1,The Fast and the Furious,A Nobel Prize,Pop/R&B,64,burritos,Lebron James,Better,All three sound the same.,2,0,4,Snapchat
2022/09/20 4:23:10 PM MDT,STAT 217 Section 6 (12:10),COMS,7,225,Fullerton CA,JFK in nyc,,7,8,9,Dec,Summer,Pink,Blue,Red and blue,2,Harry Potter,A Nobel Prize,Rock/indie,64,Spaghetti,Otani ,Better,All three sound the same.,1,0,10,Instagram
2022/09/20 4:23:38 PM MDT,STAT 217 Section 7 (1:10),ITP,8,234,"San Francisco, CA","Cabo San Lucas International Airport, in Cabo San Lucas, Mexico",123874,0,1,8,Jul,Winter,Blue,Purple,Orange and Black,3,Lord of the Rings,A Nobel Prize,Rock/indie,71,Burritos,Steph Curry,Better,All three sound the same.,1,1,300,Snapchat
2022/09/20 4:41:11 PM MDT,STAT 217 Section 6 (12:10),EVMP ,8,257,"Pleasanton, Ca ","Atlanta, GA",162549,0,0,21,Jun,Summer,Blue,Purple,"Red, white",5,The Fast and the Furious,An Olympic gold medal,Country,65,Tacos,Micheal Jordan,Better,Mary and marry sound the same; merry sounds different,0,2,70,TikTok
2022/09/20 4:46:44 PM MDT,STAT 217 Section 7 (1:10),PSY,8,158,"Miami, Florida","Miami, Florida",100500,7,8,8,Jun,Summer,orange,blue,blue and yellow,1,Marvel Cinematic Universe,An Academy Award (Oscar),Pop/R&B,64,pasta,Steph curry,Better,All three sound the same.,0,1,60,TikTok
2022/09/20 4:47:36 PM MDT,DATA 301,STAT,9,129,"Bakersfield, California","Redmond, Oregon",110878,7,8,14,Oct,Fall,green,purple,blue and white,3,Star Wars,An Olympic gold medal,Rock/indie,73,peanut butter,Michael Jordan,Better,All three sound the same.,2,0,3,Snapchat
2022/09/20 4:53:22 PM MDT,DATA 301,BUS,7.5,295,"Jupiter, FL","Fort Wayne, IN",,0,8,20,Mar,Summer,Purple,Blue,Red and Blue,3,Marvel Cinematic Universe,A Nobel Prize,Country,65,Pasta,Joel Embiid,Better,All three sound the same.,1,1,42,TikTok
2022/09/20 5:02:14 PM MDT,DATA 301,CSC,6,1,"Puyallup, Washington","Seattle International Airport, Washington",144783,2,7,13,Nov,Summer,pink,blue,green and blue,3,Marvel Cinematic Universe,A Nobel Prize,Hip hop/rap,75,ice cream,kevin durant,Better,All three sound the same.,1,1,14,Snapchat
2022/09/20 5:15:09 PM MDT,DATA 301,CSC,7,5,"San Luis Obispo, CA","Las Vegas, Nevada",,0,4,5,May,Summer,Green,Blue,Green and Yellow,3,Marvel Cinematic Universe,A Nobel Prize,K-Pop,68,Rice,Curry,Better,All three sound the same.,1,1,60,Instagram
2022/09/20 5:36:17 PM MDT,STAT 217 Section 7 (1:10),CD,9,962,"Phoenix, AZ","Seattle, WA",180000,2,8,23,Dec,Summer,green,white,red and black,1,Harry Potter,An Academy Award (Oscar),Rock/indie,64,Salad,idk,Worse,All three sound the same.,1,0,5,Snapchat
2022/09/20 5:39:42 PM MDT,STAT 217 Section 6 (12:10),ASM,8,113,"Oxnard, California ","Dallas/Fort Worth International Airport - Dallas, Texas",246529,0,0,10,Mar,Spring,blue,tan,Red and Gold,2,The Fast and the Furious,An Olympic gold medal,Country,74,tacos,Kobe,Better,All three sound the same.,0,1,0.1,Instagram
2022/09/20 5:40:49 PM MDT,DATA 301,STAT,6.5,185,"San Jose, California","Lihue, Hawaii",70000,0,8,19,Jul,Spring,green,purple,"teal, black",1,Harry Potter,An Academy Award (Oscar),Hip hop/rap,67,pizza,LeBron James,About the same,All three sound the same.,1,0,15,Twitter
2022/09/20 5:44:04 PM MDT,STAT 217 Section 7 (1:10),COMS,8.5,148,"Clovis, CA","Denver, Colorado ",25000,1,0,4,Oct,Summer,Light pink,light blue,yellow and blue ,2,Twilight,An Academy Award (Oscar),Pop/R&B,65,Pasta ,Lebron,About the same,Marry and merry sound the same; Mary sounds different,2,1,1,TikTok
2022/09/20 5:52:28 PM MDT,DATA 301,STAT,8,215,"Harbor City, CA","Denver, CO",,6,8,11,Nov,Spring,pink,light blue,red and navy,1,Marvel Cinematic Universe,An Academy Award (Oscar),Hip hop/rap,74,pasta,LeBron James,Better,All three sound the same.,0,1,62,Twitter
2022/09/20 6:02:27 PM MDT,STAT 217 Section 7 (1:10),PSY,8,5315,"Minato, Tokyo","Narita, Tokyo",,7,8,2,Sep,Summer,Purple,Teel,Red and Black,0,Star Wars,An Academy Award (Oscar),Pop/R&B,67,Chicken Alfredo,Michael Jordan,Better,Mary and marry sound the same; merry sounds different,0,0,1,Instagram
2022/09/20 6:20:31 PM MDT,STAT 217 Section 6 (12:10),ASM,9,1.2,"San Luis Obispo, CA","Seattle, Washington ",392066,0,2,8,Mar,Fall,blue,green,black and orange,2,Jurassic Park/World,An Olympic gold medal,Country,71,beef,Kobe Bryant ,Better,All three sound the same.,1,1,45,Snapchat
2022/09/20 6:33:08 PM MDT,STAT 217 Section 7 (1:10),FFS,7.5,207,"Santa Rosa, CA","Honolulu, HI",,0,7,4,Jan,Winter,Blue,Yellow,Red and Yellow,1,Marvel Cinematic Universe,An Academy Award (Oscar),Pop/R&B,68,Filipino food,Micheal Jordan,Better,Mary and marry sound the same; merry sounds different,1,2,2,Snapchat
2022/09/20 6:38:55 PM MDT,STAT 217 Section 7 (1:10),CD,9,230.3,"Pittsburgh, Pennsylvania","Kona, Hawaii",,5,8,12,Nov,Fall,Green,Blue,Black and Gold,2,Marvel Cinematic Universe,An Olympic gold medal,Pop/R&B,62,Pasta,Kobe Bryant,Better,All three sound the same.,0,1,3,Snapchat
2022/09/20 6:44:32 PM MDT,DATA 301,STAT,8.5,235,"Lake Forest, California","Fort Lauderdale, Florida",92000,7,8,9,Feb,Winter,Pink,Blue,Red and White,0,Harry Potter,An Olympic gold medal,Rock/indie,73,Cheeseburger,Michael Jordan,Better,All three sound the same.,3,0,90,Twitter
2022/09/20 6:55:04 PM MDT,DATA 301,BIO,6,217.9,"Pleasanton, CA","Portland, Oregon",,2,8,5,Mar,Winter,Pink,Orange,Red and Gold,0,The Fast and the Furious,An Olympic gold medal,Electronic/dance,65,Pasta,Michael Jordan,Better,All three sound the same.,0,0,2,Instagram
2022/09/20 7:00:17 PM MDT,DATA 301,CSC,9.5,1.5,"Portland, OR","Portland, OR",106396,0,3,14,Apr,Summer,blue,blue,"Green, gold",1,Star Wars,A Nobel Prize,Rock/indie,75,Pizza,Kobe Bryant,Better,All three sound the same.,1,1,3,Instagram
2022/09/20 7:11:04 PM MDT,STAT 217 Section 6 (12:10),ASM,8,128,Tular CA,"Arizona, not sure airport",270000,7,8,11,Nov,Spring,purple,yellow,black and orange,2,Marvel Cinematic Universe,A Nobel Prize,Classical,67,tacos,Michael Jordan,Better,All three sound the same.,2,0,60,Instagram
2022/09/20 8:30:23 PM MDT,STAT 217 Section 6 (12:10),PSY,7,23,"Paso Robles, CA","Nashville International Airport located in Nashville, TN",90725,0,0,7,Jan,Fall,Yellow,Red,Red and white,1,The Fast and the Furious,An Academy Award (Oscar),Rock/indie,62,Watermelon,Michael Jordin,About the same,All three sound different,0,1,94,TikTok
2022/09/20 9:00:25 PM MDT,DATA 301,CSC,5,1.1,"Houston, Texas","San Francisco, CA",217400,0,3,5,Aug,Winter,Orange,Turquoise,"Blue, Red",12,Jurassic Park/World,An Academy Award (Oscar),Reggeaton,68,Pupusas,J. J. Barea,About the same,All three sound the same.,1,0,6,Instagram
2022/09/20 9:13:06 PM MDT,STAT 217 Section 6 (12:10),CD,7.5,146,"Fresno, California",Washington DC,89636,7,8,4,Dec,Summer,pink ,purple,black and orange,2,Harry Potter,An Olympic gold medal,Country,70,salad,kobe Bryant,Better,Mary and marry sound the same; merry sounds different,2,0,3,Snapchat
2022/09/20 9:49:39 PM MDT,DATA 301,CSC,6.5,1.5,"Walnut Creek, California",Arizona,49500,4,4,5,Dec,Summer,light-gray (overcast),electric blue,blue and gold,2,Marvel Cinematic Universe,A Nobel Prize,lofi,74,sushi,Lebron James,Better,All three sound the same.,0,1,2,Snapchat
2022/09/20 9:54:30 PM MDT,DATA 301,CSC,7,15,"San Ramon, CA","Atlanta, GA",,1,8,7,Jun,Summer,White,Pink,red and white,0,Harry Potter,An Academy Award (Oscar),Electronic/dance,65,Ramen,Kobe ,About the same,All three sound the same.,1,0,540,Instagram
2022/09/20 9:59:16 PM MDT,STAT 217 Section 7 (1:10),PSY,6.5,172,"Menlo Park, CA","Portland, Maine",,7,8,32,Mar,Spring,Purple,Blue,Blue and red,1,Harry Potter,A Nobel Prize,Rock/indie,69,Sushi,Michael jordan ,About the same,All three sound the same.,0,1,13,Snapchat
2022/09/20 10:04:02 PM MDT,STAT 217 Section 6 (12:10),COMS,7,64,Aptos California,Phoenix Sky Harbor International Airport ,146000,0,0,5,Aug,Fall,Navy Blue,Dark blue,Blue and white,2,Twilight,An Olympic gold medal,Country,73,burritos,Stephen Curry,Better,All three sound the same.,1,1,23,Snapchat
2022/09/20 10:15:19 PM MDT,STAT 217 Section 7 (1:10),POLS,9,206,"Mission Viejo, CA","New Orleans, LA",,0,8,13,Jan,Summer,Orange,Baby pink ,Blue and yellow,3,Harry Potter,A Nobel Prize,Pop/R&B,67,Pasta,Magic Johnson,Better,All three sound the same.,1,0,38,TikTok
2022/09/20 10:53:00 PM MDT,DATA 301,CSC,5.5,0.5,"Walnut Creek, California","Boston, Massachusetts",85364,7,8,9,Oct,Fall,Pink,Blue,Blue and Yellow,3,Marvel Cinematic Universe,A Nobel Prize,Pop/R&B,72,Pasta,Michael Jordan,Better,All three sound the same.,1,1,20,Instagram
2022/09/20 11:40:14 PM MDT,STAT 217 Section 7 (1:10),POLS,9,196,"Torrance, California","Waikiki, Hawaii",160000,7,8,11,Jan,Summer,Peach orange,blue,Green and Gold!,0,Marvel Cinematic Universe,A Nobel Prize,Hip hop/rap,61,Pizza,Michael Jordan,About the same,All three sound the same.,1,1,193,Twitter
2022/09/20 11:48:51 PM MDT,DATA 301,STAT,7,218,"Fountain Valley, California",Washington DC,82460,4,8,9,Sep,Summer,pink,blue,blue and white,0,Marvel Cinematic Universe,An Academy Award (Oscar),Pop/R&B,63,rice,Kobe Bryant,Better,All three sound the same.,0,2,1,Instagram
2022/09/20 11:48:52 PM MDT,STAT 217 Section 6 (12:10),ITP,7,230,California,"Seoul, South Korea",,0,8,8,Jul,Summer,Pink,Orange,Crimson and White,0,Marvel Cinematic Universe,A nationwide NCAA tournament pool (for the men’s or women’s NCAA basketball championship),Rock/indie,72,Rice,Giannis Antetokounmpo,Better,All three sound different,2,0,120,Instagram
2022/09/21 12:28:51 AM MDT,DATA 301,BIO,7,4.5,"Richmond, VA","San Francisco, CA",167321,1,2,22,Apr,Spring,Blue,Purple,purple yellow,1,Star Wars,A nationwide NCAA tournament pool (for the men’s or women’s NCAA basketball championship),Hip hop/rap,67,lentils,lebron james,Better,Mary and marry sound the same; merry sounds different,0,1,12,Snapchat
2022/09/21 12:36:01 AM MDT,STAT 217 Section 6 (12:10),Journalism,3.5,,"I was born in San Francisco, California ","Kahului, Hawaii. before that though, I was at the Schipol Airport in Amsterdam the Netherlands which I think is pretty cool haha ",,0,5,5,Jan,Summer,I love that the sky is blue so I wouldn't change it! ,Maybe blue? ,I don't really watch sports ,2,Harry Potter,An Olympic gold medal,classic rock ,64,pasta or fruit ,Kobe Bryant ,Better,All three sound the same.,0,1,3,TikTok
2022/09/21 1:15:53 AM MDT,DATA 301,STAT,8.5,212,"Redwood City, CA","Munich, Germany",102288,7,8,9,Jun,Summer,Violet,Blue,Purple and yellow,0,Star Wars,An Olympic gold medal,Hip hop/rap,68,Pasta,LeGoat James,Better,All three sound the same.,2,0,30,Twitter
2022/09/21 8:16:33 AM MDT,DATA 301,CSC,5.5,,"Kolhapur, India","Schiphol, Amsterdam",,4,8,5,Dec,Spring,Pink,Yellow,"blue, orange",3,Marvel Cinematic Universe,A Nobel Prize,Hip hop/rap,65,Pot stickers,Michael Jordan,Better,Mary and merry sound the same; marry sounds different,0,1,7,Instagram
2022/09/21 8:44:10 AM MDT,DATA 301,STAT,8.5,256,"San Diego, CA",Monaco France,,7,3,7,Apr,Summer,Blue,Yellow,Brown and gold,0,Star Wars,An Olympic gold medal,Hip hop/rap,70,Pasta,Michael Jordan ,Better,Mary and marry sound the same; merry sounds different,0,2,600,Snapchat
2022/09/21 10:23:09 AM MDT,STAT 217 Section 7 (1:10),COMS,7.5,176,"San Carlos, California","Montréal, Quebec",180000,7,7,7,Apr,Spring,Pink,Blue,Red and white,2,Harry Potter,A Nobel Prize,Country,66,Pho,Stephen Curry,Worse,All three sound the same.,0,2,39,Instagram
